"Segments","Segments"
"Segment","Segment"
Back,Back
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
"Save Block","Save Block"
ID,ID
Status,Status
Disabled,Disabled
Enabled,Enabled
"Store View","Store View"
Created,Created
Modified,Modified
Action,Action
